SchoolCode,Phase,Type,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Headteacher,Area,AgeRangeMinimum,AgeRangeMaximum,Nearest,Non Nearest,Priority 1A,Priority 1B,Priority 2,Priority 3,Priority 4,Priority 5,EHCP / Statement,LAC,Nearest Placed,Non Nearest Placed,Placed,SEN,Siblings,Notes
3383,Primary,Voluntary Aided,Holy Rosary and St Anne’s Catholic Primary School,Leopold Street,,Leeds,LS7 4AW,430819,435196,0113 336 8433,secretary@st-annes.leeds.sch.uk,http://www.holyrosaryandstannes.org.uk,Mrs E McDonagh-Smith,NE,3,11,,,,,,,,,,,,,,,,
2283,Primary,Community,Horsforth Featherbank Primary School,Featherbank,Horsforth,Leeds,LS18 4QP,423713,437497,0113 214 4811,info@featherbank.leeds.sch.uk,http://www.featherbank.leeds.sch.uk,Mrs K Rhodes,NW,4,11,0.131,,,,22,,8,,,,,,,,,
2363,Primary,Community,Horsforth Newlaithes Primary School,Victoria Crescent,Horsforth,Leeds,LS18 4PT,423255,436973,0113 258 8645,headteacher@stf.newlaithes.co.uk,http://www.newlaithes.co.uk,Mrs J Blacoe,NW,4,11,0.422,0.551,,,23,,24,13,,,,,,,,
4115,Secondary,Academy,Horsforth School,Lee Lane East,Horsforth,Leeds,LS18 5RF,423723,438495,0113 226 5454,info@horsforthschool.org,http://www.horsforthschool.org,Mr S Jex MEd BSc (Econ),NW,11,18,,,,,,,,,,,,,,,,
3038,Primary,Community,Horsforth St Margaret’s Church of England Primary School,Town Street,Horsforth,Leeds,LS18 5BL,423837,438210,0113 386 2520,stringm01@leedslearning.net,http://www.stmargarets.leeds.sch.uk/,Mr A M Wiley,NW,3,11,0.256,0.363,1,,28,,18,12,1,,,,,,,
2334,Primary,Community,Horsforth West End Primary School,West End Lane,Horsforth,Leeds,LS18 5JP,422906,438391,0113 258 2819,westendschool@leedslearning.net,http://www.westendprimary.org.uk,Mrs L A Wadkin,NW,3,11,0.324,,1,,18,,11,,,,,,,,,
2450,Primary,Community,Hovingham Primary School,Hovingham Avenue,,Leeds,LS8 3QY,432405,435642,0113 248 9537,kim.andrews@hovingham.org,http://www.hovingham.leeds.sch.uk/,Ms J Spence,E,3,11,,,,,,,,,,,,,,,,
2483,Primary,Foundation,Hugh Gaitskell Primary School,St Anthony's Drive,,Leeds,LS11 8AB,428563,430640,0113 271 6963,sue.richardson@hg-ps.org,http://www.hughgaitskell.leeds.sch.uk,Mrs M Beesley,S,3,11,,,,,,,,,,,,,,,,
2474,Primary,Community,Hunslet Carr Primary School,Woodhouse Hill Road,,Leeds,LS10 2DN,431201,430724,0113 271 3804,christine.rayner@hunsletcarr.co.uk,http://www.hunsletcarr.leeds.sch.uk,Mr P Tyson,S,3,11,,,,,,,,,,,,,,,,
2475,Primary,Community,Hunslet Moor Primary School,Fairfold Avenue,,Leeds,LS11 5EL,430153,431367,0113 271 7257,headteacher@hunsletmoor.leeds.sch.uk,http://www.hunsletmoor.co.uk,Miss H Darley,S,3,11,,,,,,,,,,,,,,,,
3914,Primary,Voluntary Aided,Hunslet St Mary’s Church of England Primary School,Church Street,Hunslet,Leeds,LS10 2QY,431179,431347,0113 271 7204,karen.shields@hunsletstmarys.co.uk,http://www.hunsletstmarys.co.uk,Mr M Ford,S,4,11,,,,,,,,,,,,,,,,
3381,Primary,Voluntary Aided,Immaculate Heart of Mary Catholic Primary School,292 Harrogate Road,,Leeds,LS17 6SX,430602,438020,0113 336 8690,school.office@ihomcps.co.uk,http://www.immaculate-heart-of-mary.leeds.sch.uk,Mr S Dudgeon,NE,4,11,,,,,,,,,,,,,,,,
2476,Primary,Community,Ingram Road Primary School,Brown Lane East,Holbeck,Leeds,LS11 9LA,428832,432071,0113 245 6136,info@ingramroad.leeds.sch.uk,http://www.ingramroad.leeds.sch.uk/,Miss S Millard,S,3,11,,,,,,,,,,,,,,,,
2420,Primary,Foundation,Ireland Wood Primary School ,Raynel Gardens,,Leeds,LS16 6BW,426077,439670,0113 267 8032,info@irelandwood.leeds.sch.uk,http://www.irelandwood.leeds.sch.uk,Mr I Blackburn,NW,4,11,,,,,,,,,,,,,,,,
2410,Primary,Foundation,Iveson Primary School,Iveson Rise,,Leeds,LS16 6LW,426108,438667,0113 225 6868,office@iveson-primary.co.uk,http://www.iveson-primary.co.uk,Mrs D Mann,NW,3,11,,,,,,,,,,,,,,,,
4055,Secondary,Academy,John Smeaton Academy,Smeaton Approach,Barwick Road,Leeds,LS15 8TA,437308,435598,0113 831 3900,enquiries@johnsmeatonacademy.org.uk,http://www.johnsmeatonacademy.org.uk,Mr D Yates,E,11,18,,,,,,,,,,1,,,,,49,
2434,Primary,Community,Kerr Mackie Primary School,Gledhow Lane,,Leeds,LS8 1NE,432135,437069,0113 336 8499,office@kmps.org.uk,http://www.kerrmackie-primary-school.org.uk/,Mrs A Ronicle,NE,4,11,0.629,1.338,,,19,,8,33,,,,,,,,
2011,Primary,Academy,Khalsa Science Academy Free School,192A Chapeltown Road,,Leeds,LS7 4HZ,430978,436111,0113 887 3680,info@khalsascienceacademy.org.uk,http://www.khalsascienceacademy.org.uk/,Mark Scott,NE,4,11,,,,,,,,,,,,,,,,
2801,Primary,Foundation,Kippax Ash Tree Primary School,Gibson Lane,Kippax,Leeds,LS25 7JL,441894,430482,0113 385 0680,secretary@kippaxashtree.leeds.sch.uk,http://www.kippaxashtree.leeds.sch.uk,Ms Campbell,E,3,11,,,,,,,,,,,,,,,,
2384,Primary,Foundation,Kippax Greenfield Primary School,Ebor Mount,Kippax,Leeds,LS25 7PA,441468,430609,0113 287 6195,kgpsoffice@brigshawtrust.com,www.kippaxgreenfield.co.uk,Mrs K Moleele,E,4,11,,,,,,,,,,,,,,,,
2399,Primary,Foundation,"Kippax North Junior, Infant and Nursery School",Brexdale Avenue,Kippax,Leeds,LS25 7Ej,440932,431517,0113 286 9427,deatonh01@brigshawtrust.com,http://www.kippaxnorth.leeds.sch.uk,Mrs B Clark,E,3,11,0.341,5.766,,,8,,9,13,,,,,,,,
3904,Primary,Voluntary Aided,Kirkstall St Stephen’s Church of England Primary School,Morris Lane,,Leeds,LS5 3JD,426431,435805,0113 382 1960,contactus@kirkstallss.net,http://www.kirkstall-st-stephens.leeds.sch.uk,Mr S Viles,NW,4,11,,,,,,,,,,,,,,,,
2411,Primary,Community,Kirkstall Valley Primary School,Argie Road,,Leeds,LS4 2QZ,427295,434761,0113 887 8982,info@kirkstallvalley.org.uk,http://www.kirkstallvalley.leeds.sch.uk,Ms Mitchell,NW,3,11,0.417,0.605,1,,16,,8,5,,,,,,,,
5200,Primary,Voluntary Aided,"Lady Elizabeth Hastings Church of England Primary School, Ledston",Green Lane,Ledston,Wakefield,WF10 2BD,443243,428780.2,0197 755 7758,lehoffice@brigshawtrust.com,http://www.ladyehastings.leeds.sch.uk,Mrs K Dews (acting),E,4,11,,,,,,,,,,,,,,,,
3356,Primary,Foundation,"Lady Elizabeth Hastings Church of England Primary School, Thorp Arch",Dowkell Lane,Thorpe Arch,Wetherby,LS23 7AQ,443332,446217,0193 784 2566,helen.obridge@thorparch-leh.co.uk,http://www.ladyhastings-thorparch.leeds.sch.uk,Ms S Ulyett,NE,4,11,,,,,,,,,,,,,,,,
2000,Primary,Foundation,Lane End Primary School,Beeston Road,Holbeck,Leeds,LS11 6TP,429704,432054,0113 271 7969,office@laneendprimary.co.uk,www.laneendprimary.org.uk,Mrs Williams,S,4,11,0.381,1.423,,,10,,15,35,,,,,,,,
2497,Primary,Community,Lawns Park Primary School,Chapel Lane,,Leeds,LS12 5EX,425093,432247,0113 263 7364,info@lawnspark.net,http://www.lawnspark.net/,Ms R Ford,W,3,11,0.868,0.277,,,10,,15,5,,,,,,,,
4006,Secondary,Community,Lawnswood School,Ring Road,West Park ,Leeds,LS16 5AG,426728,437859,0113 284 4020,school@lawnswoodschool.co.uk,http://www.lawnswoodschool.co.uk,Mr S White,NW,11,18,,,,,,,,,,,,,11,1,63,
4066,Secondary,Academy,Leeds Jewish Free School,Wentworth Avenue,,Leeds,LS17 7TN,430181,439856,0113 269 3176,admin@ljfs.org,http://www.ljfs.org,Jeremy Dunford,NE,7,18,,,,,,,,,,,,,,,,
6906,Secondary,Academy,Leeds West Academy,Intake Lane,Rodley,Leeds,LS13 1DQ,422930,435410,0113 229 5454,info@leedswestacademy.org.uk,http://www.leedswestacademy.org.uk,Mrs A Hall,W,11,18,,,,,,,,,,,,,,,,
2412,Primary,Foundation,Little London Community Primary School,Meanwood Street,,Leeds,LS7 1SR,430415,434799,0113 244 2457,office@littlelondonprimary.co.uk,http://www.littlelondon.leeds.sch.uk,Mrs J Wood,NW,4,11,,,,,,,,,,,,,,,,
2481,Primary,Community,Low Road Primary School,Belinda Street,Hunslet,Leeds,LS10 2PS,431475,431469,0113 271 6051,jayne.kellett@musicfederation.co.uk,http://www.musicfederation.co.uk/,Mrs S Sumpner,S,3,11,0.413,2.03,,,10,,14,6,,,,,,,,
2496,Primary,Community,Lower Wortley Primary School,Lower Wortley Road,,Leeds,LS12 4PX,426476,431942,0113 386 2530,admin@lwps.org.uk,http://www.lowerwortley-pri.leeds.sch.uk/,Mrs B Giles,W,3,11,0.381,1.065,1,,13,,24,7,,,,,,,,
2365,Primary,Community,Lowtown Primary School,Kent Road,Pudsey,Leeds,LS28 9BB,422888,433466,0113 256 7303,admin@pudseylowtown.org.uk,http://www.pudseylowtown.leeds.sch.uk/,Ms C Downham,W,4,11,0.498,,,1,17,,12,,,,,,,,,
2464,Primary,Community,Manston Primary School,Dennil Road,,Leeds,LS15 8SD,436599,435401,0113 264 5445,manston.primary@manston.leeds.sch.uk,http://www.manstonprimary.co.uk,Mrs P Quick,E,4,11,0.498,0.55,2,,10,,15,3,,,,,,,,
3910,Primary,Academy,Manston St James’ Church of England Primary Academy,Sandbed Lane,,Leeds,LS15 8JH,436615,435165,0113 273 9180,info@manston-st-james.leeds.sch.uk,http://www.manston-st-james.leeds.sch.uk,Mr M Edwards,E,4,11,,,,,,,,,,,,,,,,
3923,Primary,Foundation,Meadowfield Primary School,Halton Moor Avenue,,Leeds,LS9 0JY,433677,433227,0113 3230010,linda.mackie@meadowfieldclc.org,http://www.meadowfieldclc.org,Mr R Mellard,E,3,11,0.572,0.365,,,28,,30,2,,,,,,,,
3907,Primary,Voluntary Aided,Meanwood Church of England Primary School,Green Road,,Leeds,LS6 4LD,428207,437316,0113 275 5883,helen.sanderson@meanwood.leeds.sch.uk,http://www.meanwoodschool.co.uk,Mrs H Sanderson,NW,4,11,,,,,,,,,,,,,,,,
3916,Primary,Community,Methley Primary School,Savile Road,Methley,Leeds,LS26 9HT,439966,427035,0113 386 2540,tracy.dell@methley-pri.leeds.sch.uk,http://www.methley-pri.leeds.sch.uk/,Ms T Dell,S,3,11,,,,,,,,,,,,,,,,
3040,Primary,Community,Micklefield C.E. Primary School,Great North Road,Micklefield,Leeds,LS25 4AQ,444371,433284,0113 336 8668,office@micklefieldceprimary.co.uk,http://www.micklefieldprimary.org.uk,Mrs G Dodsworth,E,3,11,,,,,,,,,,,,,,,,
2477,Primary,Foundation,Middleton Primary School,Middleton Park Avenue,,Leeds,LS10 4HU,429892,427449,0113 271 7969,info@middletonprimary.net,http://www.middletonprimary.net,Ms S Williams,S,4,11,,,,,,,,,,,,,,,,
3053,Primary,Community,Middleton St Mary’s Church of England Primary School,Moor Flatts Road,,Leeds,LS10 3SW,430132,428331,0113 271 7206,enquiries@middletonstmarys.co.uk,http://www.middletonstmarys.co.uk,Ms S Graham,S,3,11,0.392,0.587,,,37,,9,14,,,,,,,,
3930,Primary,Community,Mill Field Primary School,Potternewton Mount,,Leeds,LS7 2DR,429766,436461.3,0113 262 0021,office@mfprimary.com,http://www.mfprimary.com/,Mr S Watkins,NE,3,11,,,,,,,,,,,,,,,,
2439,Primary,Community,Moor Allerton Hall Primary School,Lidgett Lane,,Leeds,LS17 6QP,431470,438221,0113 336 8350,office@moorallertonhall.leeds.sch.uk,http://www.moorallertonhall.leeds.sch.uk,Ms L McKay,NE,3,11,,,,,,,,,,,,,,,,
2440,Primary,Community,Moortown Primary School,Shadwell Lane,,Leeds,LS17 6DR,430872,438853,0113 268 5915,office@moortown.leeds.sch.uk,http://www.moortown.leeds.sch.uk,Mr D Roundtree,NE,4,11,0.493,0.357,1,,12,,10,7,,,,,,,,
4101,Secondary,Academy,Morley Academy,Fountain Street,Morley,Leeds,LS27 0PD,425947,427447,0113 253 2952,info@morley.leeds.sch.uk,http://www.morley.leeds.sch.uk,Mr J A Townsley BA (Hons) NPQH,S,11,18,,,,,,,,,,4,90,152,,,90,
2321,Primary,Community,Morley Newlands Primary School,Wide Lane,Morley,Leeds,LS27 8PG,427624,428034,0113 323 1890,enquiries@morleynewlands.leeds.sch.uk,http://morleynewlands.leeds.sch.uk/,Mr A Stygall,S,4,11,,,,,,,,,,,,,,,,
2382,Primary,Community,Morley Victoria Primary School,Victoria Road,Morley,Leeds,LS27 9NW,426018,428288,0113 253 5253,office@morleyvictoria.org.uk,http://www.morleyvictoriaprimary.org.uk,Mr R H J Elstub,S,3,11,0.374,0.348,,,25,,25,10,,,,,,,,
4753,Secondary,Voluntary Aided,Mount St Mary’s Catholic High School,Ellerby Road,,Leeds,LS9 8LA,431264,433164,0113 245 5248,hehub@mountstmarys.org,http://www.mountstmarys.org,Mr M Cooper,E,11,16,,,,,,,,,,,,,,,,
3927,Primary,Community,New Bewerley Community School,Bismarck Drive,,Leeds,LS11 6TB,430016,431677,0113 887 8718,secretary@newbewerley.org.uk,http://www.newbewerley.leeds.sch.uk,Mr P Wilkins,S,4,11,,,,,,,,,,,,,,,,
2012,Primary,Academy,Nightingale Academy,Stanley Road,,Leeds,LS9 7AX,432106,434804,0746 714 6874,headteacher@nightingale.coop,http://www.nightingale.coop,Ms Ingram,NE,4,11,,,,,,,,,,,,,,,,
2397,Primary,Foundation,Ninelands Primary School,Ninelands Lane,Garforth,Leeds,LS25 1NT,441099,432702,0113 287 8370,ffice@ninelands-school.co.uk,http://www.ninelands-school.co.uk,Mrs J Sabourn,E,3,11,,,,,,,,,,,,,,,,
2010,Primary,Academy,Oakwood Primary Academy,North Farm Road,,Leeds,LS8 3LZ,433161,435311,0113 240 2526,office@oakwood.coop,http://www.oakwoodleeds.org.uk,Miss R Ingram,E,3,11,0.405,,,,38,,22,,,,,,,,,
2513,Primary,Community,Otley All Saints Church of England Primary School,Lisker Drive,Otley,Leeds,LS21 1DF,420981,445208,0194 346 4703,office@otleyallsaints.co.uk,p://www.otleyallsaints.co.uk,Mr I Thomson-Smith,NW,3,11,0.524,0.469,,,10,,19,1,,,,,,,,
2405,Primary,Community,Otley The Whartons Primary School,The Whartons,Otley,Leeds,LS21 2BS,420373,446901,0194 346 5018,info@whartonsprimary.co.uk,http://www.whartonsprimary.co.uk,Ms Dickson,NW,4,11,,,,,,,,,,,,,,,,
2327,Primary,Community,Oulton Primary School,Green Lea,Oulton,Leeds,LS26 8NT,435835,428799,0113 214 6303,joanne.smithson@oulton.leeds.sch.uk,http://www.oulton.ik.org,Ms J Smithson,S,3,11,,,,,,,,,,,,,,,,
3376,Primary,Voluntary Aided,Our Lady’s Catholic Primary School,Pigeon Cote Road,,Leeds,LS14 1EP,435102,436668,0113 2329031,administrator@ourladys.org,http://www.ourladyscatholicprim.org.uk,Mrs S Flaherty,E,3,11,,,,,,,,,,,,,,,,
2488,Primary,Community,Park Spring Primary School,Wellstone Avenue,,Leeds,LS13 4EH,423971,433677,0113 255 2526,office@parkspringprimary.co.uk,http://www.parkspringprimary.co.uk,Mrs R Horan,W,3,11,,,,,,,,,,,,,,,,
2005,Primary,Academy,Park View Primary Academy,Harlech Road,,Leeds,LS11 7DG,429513,430893,0113 271 6754,info@parkviewpa.org.uk,http://www.parkviewpa.org.uk,Ms E Pickard,S,3,11,0.223,,,,19,,11,,,,,,,,,
2467,Primary,Community,Parklands Primary School,Dufton Approach ,,Leeds,LS14 6ED,435530,435383,0113 293 0282,d.mcelwee@parklandsleeds.org.uk,http://parklandsprimary.org.uk,Mrs C Hindmarch,E,4,11,,,,,,,,,,,,,,,,
3051,Primary,Community,Pool-in-Wharfedale Church of England Primary School,Arthington Lane,Pool In Wharfedale,Leeds,LS21 1LG,424845,445126,0113 284 3151,info@poolprimarysch.org.uk,http://www.pool-in-wharfedale-leeds.co.uk/,Mr M McDermid,NW,4,11,,,,,,,,,,,,,,,,
4110,Secondary,Foundation,Priesthorpe School (Foundation),Priesthorpe Lane,Farsley,Leeds,LS28 5SG,420638,434897,0113 257 4115,info@priesthorpe.org,http://www.priesthorpe.org,Mr M Blacoe,W,11,18,,,,,,,,,,3,38,85,,2,67,
2389,Primary,Foundation,Primrose Lane Primary School,Westwood Way,Boston Spa,Wetherby,LS23 6DX,442657,445388,0193 784 2667,info@primroselane.leeds.sch.uk,http://www.primroselane.leeds.sch.uk,Mrs C Holmes,NE,3,11,0.542,,,,15,,15,,,,,,,,,
4501,Secondary,Academy,Prince Henry’s Grammar School (Academy),Farnley Lane,Otley,Leeds,LS21 2BB,420205,446287,0194 346 3524,info@princehenrys.co.uk,http://www.princehenrys.co.uk,Mrs J Sheriff,NW,11,18,,,,,,,,,,,85,56,,1,113,
2331,Primary,Community,Pudsey Bolton Royd Primary School,Moorland Grove,Pudsey,Leeds,LS28 8EP,420151,433922,0113 386 2560,info@pudseyboltonroyd.org,http://www.pudseyboltonroyd.org,Mr P Taylor,W,3,11,,,,,,,,,,,,,,,,
4102,Secondary,Foundation,Pudsey Grangefield Maths and Computing College (Foundation),Mount Pleasant Road,Pudsey,Leeds,LS28 7ND,422336,433739,0113 255 8277,ontactus@pudseygrangefield.co.uk,http://www.pudseygrangefield.leeds.sch.uk/,Mr K M Cornforth,W,11,18,,,,,,,,,,3,74,43,,,75,
2339,Primary,Community,Pudsey Primrose Hill Primary School,Primrose Hill,Stanningley,Leeds,LS28 6AB,422024,434016,0113 257 4129,admin@pudseyprimrosehill.co.uk,http://www.primrosehill.leeds.sch.uk,Mrs L West,W,3,11,0.351,1.543,1,,31,,18,40,,,,,,,,
2326,Primary,Community,Pudsey Tyersal Primary School,Tyersal Walk,,Bradford,BD4 8ER,419799,432549,0127 466 2363,a.durn@pudseytyersalps.org.uk,http://www.pudseytyersalps.co.uk,Mrs J Jobson,W,3,11,,,,,,,,,,,,,,,,
3920,Primary,Community,Pudsey Waterloo Primary School,Victoria Road,Pudsey,Leeds,LS28 7SR,421368,433227,0113 336 8020,v.bray@pudseywaterloo.org.uk,http://www.pudseywaterloo.co.uk,Mrs K Priestley,W,3,11,,,,,,,,,,,,,,,,
2413,Primary,Foundation,Quarry Mount Primary School,Pennington Street,,Leeds,LS6 2JP,429432,435546,0113 245 5803,acarter@quarrymountprimary.org.uk,http://www.quarrymount.leeds.sch.uk/,Ms Hendley,NW,4,11,0.224,,,,21,,9,,,,,,,,,
2356,Primary,Foundation,Queensway Primary School and Yeadon and Rawdon Children’s Centre,Coppice Wood Avenue,Yeadon,Leeds,LS19 7LF,420304,441881,0194 387 4925,office@queenswayschool.co.uk,http://www.angelapplicationsltd.com/queensway/,Mr A Davies,NW,3,11,,,,,,,,,,,,,,,,
4062,Secondary,Academy,Ralph Thoresby School,Holt Dale Approach,,Leeds,LS16 7RX,425779,439865,0113 397 9911,headteacher@ralphthoresby.com,http://www.ralphthoresby.com,Mr W Carr,NW,11,18,,,,,,,,,,3,,,13,6,48,
2271,Primary,Foundation,Rawdon Littlemoor Primary School,New Road Side,Rawdon,Leeds,LS19 6DD,420564,439949,0113 887 9690,office@rawdonlittlemoor.org,http://www.rawdonlittlemoor.org/,Mrs S Henderson,NW,4,11,0.734,0.588,3,,21,,13,8,,,,,,,,
3031,Primary,Community,Rawdon St Peter’s Church of England Primary School,Town Street,Rawdon,Leeds,LS19 6PP,421808,439438,0113 250 4201,headteacher@rawdonstpeters.co.uk,http://www.rawdonstpeters.org.uk,Ms C Sibson,NW,4,11,0.763,1.328,3,,17,,12,13,,,,,,,,
2489,Primary,Community,Raynville Primary School,Cross Aston Grove,,Leeds,LS13 2TQ,425210,434714,0113 257 9590,m.townsend@raynvilleprimaryleeds.org,http://www.raynvilleprimaryleeds.org.uk/,Mrs M Townsend,W,3,11,,,,,,,,,,,,,,,,
2451,Primary,Community,Richmond Hill Primary School,Clark Crescent,,Leeds,LS9 8QF,431832,433009,0113 336 8899,info@richmondhill.leeds.sch.uk,http://www.richmondhillprimary.ik.org,Mrs S Mudie,E,3,11,0.594,1.186,,,34,,42,14,,,,,,,,
2309,Primary,Community,Robin Hood Primary School,Leeds Road,Robin Hood,Wakefield,WF3 3BG,432551,426884,0113 282 3444,sue.smith@robinhood.leeds.sch.uk ,http://www.robinhood.leeds.sch.uk,Ms G Dale,S,3,11,0.641,0.95,,,18,,27,15,,,,,,,,
4103,Secondary,Academy,Rodillian Academy,Longthorpe Lane,Lofthouse,Wakefield,WF3 3PS,432983,426059,0192 487 2252,ontact@rodillianacademy.co.uk,http://www.therodillianacademy.co.uk,Mr A Goulty,S,11,18,1.744,1.891,,,,,,,,10,96,65,,5,94,
2415,Primary,Foundation,Rosebank Primary School,Burley Road,,Leeds,LS3 1JP,428617,434236,0113 243 3497,school@rosebank.leeds.sch.uk,ttp://www.rosebank.leeds.sch.uk,Mrs G Young,NW,3,11,0.457,0.488,,,28,,15,2,,,,,,,,
2013,Primary,Academy,Rothwell Church of England Primary School,Queensway,Rothwell,Leeds,LS26 0NB,434509,428593,0113 273 9190,headteacher@rothwell.leeds.sch.uk,http://www.rothwellcofe.co.uk,Mr D Foulke,S,4,11,,,,,,,,,,,,,,,,
2313,Infant,Community,Rothwell Haigh Road Infant School,Haigh Road,Rothwell,Leeds,LS26 0NQ,434188,428928,0113 214 6314,info@haighroad.org.uk,http://www.haighroadinfantschool.com,Miss S A Boulton,S,3,7,,,,,,,,,,,,,,,,
2506,Primary,Community,Rothwell Primary School,Carlton Lane,Rothwell,Leeds,LS26 0DJ,434074,427856,0113 386 2570,admin@rothwell-pri.leeds.sch.uk,http://www.rothwellprimary.co.uk/leeds/primary/rothwell,Ms J Booth,S,3,11,0.372,1.1,,,23,,6,16,,,,,,,,
3364,Primary,Voluntary Aided,Rothwell St Mary’s Catholic Primary School,Royds Lane,Rothwell,Leeds,LS26 0BJ,434739,427870,0113 214 6313, head@rothwellstmarys.org.uk,http://www.rothwell-st-marys.leeds.sch.uk/homepage/index.php,Ms S Leonard,S,4,11,,,,,,,,,,,,,,,,
2342,Junior,Community,Rothwell Victoria Junior School,Cornwall Crescent,Off Wood Lane,Leeds,LS26 0RA,433801,428742,0113 393 2926,admin@victoria-jun.leeds.sch.uk,http://www.rothwellvictoriajunior.co.uk/,Mrs P Ward,S,7,11,,,,,,,,,,,,,,,,
4063,Secondary (Through School),Community,Roundhay School – All-through education from 4 to 18 Primary Campus,Elmete Lane,,Leeds,LS8 2LG,432314,437265,0113 393 1207,primary@roundhay.leeds.sch.uk,http://www.roundhayschool.org.uk/,Head Mr N Clephan Primary Leader Kirsty Godfrey,NE,4,18,0.776,0.525,4,,30,,20,3,3,,,,,,,
4063,Secondary (Through School),Community,Roundhay School –All-through education from 4 to 18 Secondary Campus,Gledhow Lane,,Leeds,LS8 1ND,432314,437265,0113 393 1200,secondary@roundhayschool.com,http://www.roundhayschool.org.uk,Mr N Clephan BA MA Ad DipEd Man,NE,4,18,,,,,,,,,,4,108,,,6,132,
4063,Through School,Community,"Roundhay School All-through education from 4 to 18
",Primary Campus,Elmete Lane,Leeds,LS8 2LG,4323140,4372650,0113 393 1207,secondary@roundhayschool.com,www.roundhayschool.org.uk,Mr N Clephan,NE,4,18,0.367,,3,,38,,19,,,,,,,,,
3329,Primary,Voluntary Aided,Roundhay St John’s Church of England Primary School,North Lane,,Leeds,LS8 2QJ,433286,436924,0113 265 8451,admin@roundhaystjohns.com,http://www.roundhay-st-johns.leeds.sch.uk,Mr A Graham,NE,3,11,,,,,,,,,,,,,,,,
4104,Secondary,Academy,Royds School Specialist Language College,Pennington Lane,Oulton,Leeds,LS26 8EX,435783,426896,0113 205 9559,info@roydsschool.org,http://www.roydsschool.org,Mrs B Young MA NPQH,S,11,18,,,,,,,,,,,,,19,1,55,
2002,Primary,Community,Rufford Park Primary School,Rufford Avenue,Yeadon,Leeds,LS19 7QR,420856,440827,0113 391 0906,admin@ruffordparkprimary.org.uk,http://www.ruffordparkprimary.org.uk/,Mrs A Anslow,NW,4,11,,,,,,,,,,,,,,,,
4067,Secondary,Academy,Ruth Gorse Academy,C/O Fountain Street,Morley,Leeds,LS27 0PD,430600,432810,0113 253 1600,info@ruthgorse.leeds.sch.uk,http://www.ruthgorse.leeds.sch.uk,John Townlsey,S,11,19,,,,,,,,,,,,,,,,
2016,Primary,Academy,Ryecroft Primary School,Stonebridge Grove,,Leeds,LS12 5AW,425279,432785,0113 263 2433,info@ryecroft.leeds.sch.uk,http://www.ryecroftprimaryschool.co.uk,Mr Midgley,W,3,11,,,,,,,,,,,,,,,,
3377,Primary,Voluntary Aided,Sacred Heart Catholic Primary School,Eden Way,,Leeds,LS4 2TF,426735,435150,0113 336 8003,office@sacredheartleeds.org.uk,http://www.sacredheart.leeds.sch.uk,Mrs C McDonald,NW,3,11,,,,,,,,,,,,,,,,
2275,Primary,Community,Scholes (Elmet) Primary School,Station Road,Scholes,Leeds,LS15 4BJ,437584,436787,0113 264 9149,sue.craggs@fsw.leeds.sch.uk,http://www.scholeselmet.leeds.sch.uk,Mrs P J Edwards,E,3,11,0.581,1.181,,,17,,9,14,,,,,,,,
2452,Primary,Community,Seacroft Grange Primary School,Moresdale Lane,,Leeds,LS14 6JR,434813,435120,0113 260 5385,head@seacroftgps.org.uk,http://www.seacroftgrange.leeds.sch.uk,Mr L Brown,E,4,11,0.433,1.23,,,12,,14,4,,,,,,,,
2293,Primary,Community,Seven Hills Primary School,Appleby Way ,Morley,Leeds,LS27 8LA,426722,427908,0113 252 7194,helen.robertshaw@seven-hillsschool.org.uk,http://www.sevenhillsmorley.org.uk,Mr R Catherall,S,3,11,0.582,0.827,1,,22,,27,10,,,,,,,,
2441,Primary,Community,Shadwell Primary School - Federated with Bramham Primary School,Main Street,,Leeds,LS17 8JF,434651,439633,0113 273 2729,k.mosley@shadwellprimary.org,http://www.shadwell.leeds.sch.uk/,Ms S J Pyatt,NE,4,11,1.567,,1,,11,,17,,1,,,,,,,
2462,Primary,Community,Shakespeare Primary School and Children’s Centre,Shakespeare Avenue,,Leeds,LS9 7HP,431666,434189,0113 336 8340,office@shakespeareleeds.org.uk,http://www.shakespeareleeds.org.uk,Mr J Gorton,E,3,11,0.326,0.303,1,,26,,21,7,,,,,,,,
2510,Primary,Community,Sharp Lane Primary School,Sharp Lane,,Leeds,LS10 4QE,431300,428200,0113 3783060,contact@sharplane.leeds.sch.uk,http://www.sharplane.leeds.sch.uk,Ms M Wilson,S,3,11,,,,,,,,,,,,,,,,
3929,Primary,Community,Shire Oak Church of England Primary School,Wood Lane,,Leeds,LS6 2DT,428139,436296,0113 275 5890,jackiev@shireoak.leeds.sch.uk,http://www.shireoakcofeprimaryschool.co.uk/,Ms J Devane,NW,4,11,0.256,,1,,22,,7,,,,,,,,,
6907,Secondary,Academy,South Leeds Academy,Old Run Road,,Leeds,LS10 2JU,430554,430003,0113 212 7147,info@tsla.org.uk,http://www.tsla.org.uk,Ms C Jones,S,11,18,,,,,,,,,,,,,70,56,,
